Year,Tm,Player,Age,Rounded Position,WS
2009,CHI,Lindsey Hunter,38,1,0
2010,MIL,Charlie Bell,30,2,2
2010,GSW,Vladimir Radmanovic,29,4,-0.2
2010,DET,Kwame Brown,27,5,-0.1
2010,SAC,Joey Dorsey,26,5,0
2010,ATL,Othello Hunter,23,4,0
2010,IND,Travis Diener,27,1,0
2012,MIA,Norris Cole,23,1,0
2013,MIA,Norris Cole,24,1,0.6
2013,DET,Kim English,24,2,0.2
2013,DET,Corey Maggette,33,2,0.1
2014,SAC,Aaron Gray,29,5,0.1
2014,MEM,Darius Morris,23,2,0
2015,ORL,Willie Green,33,2,-0.1
2015,UTA,Elijah Millsap,27,3,0.4
1978,BUF,Larry Johnson,23,2,-0.1
1979,NJN,Tim Bassett,27,4,1.4
1979,NOJ,Ira Terrell,24,3,0.3
1979,PHI,Al Skinner,26,1,0.2
1979,MIL,Otis Howard,22,4,0
1981,CLE,Chad Kinch,22,1,-0.3
1982,CHI,Jackie Robinson,26,3,0
1983,ATL,Steve Hawes,32,4,0.1
1985,PHO,Alvin Scott,29,2,1.2
1985,DAL,Charlie Sitton,22,3,0.1
1986,SAC,Michael Adams,23,1,-0.1
1987,IND,Stuart Gray,23,5,0.4
1988,POR,Caldwell Jones,37,4,2.7
1988,MIL,Pace Mannion,27,2,0.3
1988,LAC,Lancaster Gordon,25,1,0
1990,CHH,Robert Reid,34,3,-0.4
1991,PHI,Jayson Williams,22,4,0.1
1992,SAS,Paul Pressey,33,1,0.3
1992,CHH,Michael Ansley,24,3,0
1994,LAL,Antonio Harvey,23,4,-0.2
1994,MIN,Corey Williams,23,1,0
1996,CHH,George Zidek,22,5,0.6
1996,MIL,Todd Day,26,2,-0.1
1996,ATL,Todd Mundt,25,5,0.1
1996,MIA,Jeff Malone,34,2,0.1
1996,CHH,Donald Hodge,26,5,0
1997,CLE,Antonio Lang,24,3,0.8
1997,WSB,Lorenzo Williams,27,4,0.4
1999,LAL,Dennis Rodman,37,4,0.8
1999,LAL,Corie Blount,30,4,0.2
2000,MIA,Rex Walters,29,1,0.3
2000,GSW,Sam Mack,29,3,0
2000,POR,Gary Grant,34,2,0
2002,NYK,Shandon Anderson,28,3,0.4
2002,ORL,Jud Buechler,33,3,0.8
2002,HOU,Glen Rice,34,2,0
2002,DEN,Mengke Bateer,26,5,0.1
2003,ATL,Emanual Davis,34,2,-0.1
2004,ATL,Jacque Vaughn,28,1,0
2004,LAL,Rick Fox,34,3,0.8
2004,NJN,Robert Pack,34,1,0.1
2005,UTA,Jarron Collins,26,4,1.1
2005,ATL,Kevin Willis,42,4,0
2005,NYK,Jermaine Jackson,28,2,0.2
2006,MEM,Dahntay Jones,25,2,0.6
2006,DET,Jason Maxiell,22,4,-0.2
2007,UTA,Jarron Collins,28,4,1.3
2007,NOK,Cedric Simmons,21,4,0.3
2007,IND,Keith McLeod,27,1,0.2
2007,LAC,Yaroslav Korolev,19,3,0
2008,UTA,Jason Hart,29,1,0.4
2009,ORL,Keith Bogans,28,2,1.5
2009,SAC,Quincy Douby,24,1,-0.1
2009,CHA,Dwayne Jones,25,5,0.1
2009,CHI,Anthony Roberson,25,2,-0.1
2010,NJN,Bobby Simmons,29,3,0.1
2010,CHA,Vladimir Radmanovic,29,4,0.2
2011,ATL,Josh Powell,28,4,-0.2
2012,MIN,Wesley Johnson,24,3,0.6
2012,NOH,Donald Sloan,24,1,-0.1
2013,SAS,Stephen Jackson,34,3,0.3
2013,LAL,Chris Duhon,30,1,1
2014,CHI,Tony Snell,22,2,1.6
2014,DET,Luigi Datome,26,3,-0.1
2014,MIA,Joel Anthony,31,4,0
2015,MIA,Henry Walker,27,3,0.5
2015,MIA,Zoran Dragic,25,2,0
2016,LAC,Lance Stephenson,25,2,0.1
2016,LAC,Austin Rivers,23,2,0
2016,GSW,Shaun Livingston,30,2,0.3
2016,LAC,Paul Pierce,38,3,0.1
2016,UTA,Raul Neto,23,1,0.1
1978,NYK,Phil Jackson,32,3,0.8
1978,DEN,Ralph Simpson,28,2,-0.4
1981,KCK,John Lambert,28,4,0.4
1982,MIL,Harvey Catchings,30,4,2.3
1982,KCK,John Lambert,29,4,0.1
1982,BOS,Eric Fernsten,28,4,0.2
1983,PHI,Earl Cureton,25,4,0.8
1984,PHI,Marc Iavaroni,27,3,1.4
1984,ATL,Mark Landsberger,28,4,0.3
1987,DEN,Otis Smith,23,2,-0.2
1987,WSB,Anthony Jones,24,2,0
1988,PHI,Steve Colter,25,1,0
1989,IND,Greg Dreiling,26,5,0.4
1989,UTA,Jose Ortiz,25,4,-0.1
1989,HOU,Chuck Nevitt,29,5,0.1
1989,LAC,Dave Popson,24,4,-0.1
1990,SAS,Johnny Moore,31,1,0.3
1990,SAC,Michael Jackson,25,1,0
1990,ATL,Duane Ferrell,24,3,-0.1
1991,SAC,Bob Hansen,30,2,-0.1
1991,IND,Jawann Oldham,33,4,0
1992,ORL,Otis Smith,28,2,-0.4
1992,HOU,Larry Smith,34,4,1.2
1992,CHH,Greg Grant,25,1,-0.1
1993,POR,Dave Johnson,22,3,-0.1
1994,CLE,Tim Kempton,30,4,-0.1
1995,DAL,Terry Davis,27,4,0.5
1995,CHH,David Wingate,31,2,0.4
1996,SEA,David Wingate,32,2,0.6
1996,MIA,Danny Schayes,36,5,0.4
1996,HOU,Charles Jones,38,4,0.6
1997,DEN,Sarunas Marciulionis,32,2,-0.5
1997,LAC,Dwayne Schintzius,28,5,0
1998,PHI,Aaron McKie,25,2,0.7
1998,SAS,Carl Herrera,31,3,0.1
1998,NJN,Kevin Edwards,32,1,0
1998,POR,Carlos Rogers,26,3,0
1999,MIA,Duane Causwell,30,5,0
2001,MIA,Bruce Bowen,29,2,4.2
2001,PHI,Vernon Maxwell,35,1,0.4
2001,WAS,Mike Smith,24,3,-0.1
2001,TOR,Eric Montross,29,5,0
2004,MIN,Keith McLeod,24,1,0.2
2004,HOU,Charles Oakley,40,3,0.1
2005,MIL,Erick Strickland,31,2,-0.3
2005,PHO,Bo Outlaw,33,3,0.2
2006,CLE,Eric Snow,32,1,2.1
2006,WAS,Michael Ruffin,29,4,1.7
2006,SAC,Corliss Williamson,32,3,0.2
2007,NJN,Antoine Wright,22,3,1.2
2008,DEN,Yakhouba Diawara,25,3,0.7
2008,CLE,Shannon Brown,22,2,-0.2
2009,MIN,Brian Cardinal,31,3,0.9
2010,NYK,Marcus Landry,24,3,0
2011,ORL,Quentin Richardson,30,3,1.3
2012,ORL,Earl Clark,24,4,0.3
2012,BOS,Marquis Daniels,31,2,0.1
2013,ATL,DeShawn Stevenson,31,2,1.5
2013,PHI,Royal Ivey,31,2,1
2013,LAL,Darius Morris,22,1,0.2
2013,MIA,James Jones,32,3,0.2
2014,ORL,Jason Maxiell,30,4,0.3
2014,BOS,Joel Anthony,31,4,0.1
2015,SAC,Ramon Sessions,28,1,-0.3
2016,TOR,Terrence Ross,24,2,0.1
2016,IND,Chase Budinger,27,3,0.2
1978,DEN,Tom LaGarde,22,4,0.4
1978,BOS,Don Chaney,31,2,0.4
1978,NJN,Bird Averitt,25,1,-0.5
1979,NYK,John Rudd,23,3,0.6
1980,SEA,Paul Silas,36,3,2.2
1980,POR,Lionel Hollins,26,1,-0.8
1980,SDC,Marvin Barnes,27,3,0.1
1981,CLE,Don Ford,28,3,0.6
1981,NJN,Rory Sparrow,22,1,-0.1
1981,CHI,Ronnie Lester,22,1,0
1982,SAS,Ed Rains,25,2,0.6
1982,WSB,Brad Holland,25,1,0
1983,IND,John Duren,24,1,0.4
1983,CLE,Steve Hayes,27,4,1.2
1983,NJN,Len Elmore,30,4,0.9
1983,SAS,Ed Rains,26,2,0.1
1984,HOU,Craig Ehlo,22,2,0
1985,LAC,Lancaster Gordon,22,1,-0.8
1985,UTA,J.J. Anderson,24,3,0.2
1986,SAS,Alfredrick Hughes,23,2,-0.5
1986,SAS,Marc Iavaroni,29,3,0.4
1986,WSB,Perry Moss,27,1,0
1987,PHI,Mark McNamara,27,5,0
1988,DEN,Bill Hanzlik,30,2,1.3
1988,MIL,Jay Humphries,25,1,0
1988,MIL,Dave Hoppen,23,4,0
1988,IND,Brian Rowsom,22,4,0
1989,MIL,Paul Mokeski,32,5,1
1989,BOS,Mark Acres,26,4,0.9
1989,SAS,Scott Roth,25,3,0.1
1989,SAC,Randy Wittman,29,2,0.2
1989,DET,John Long,32,2,0.2
1989,DET,Darryl Dawkins,32,4,0
1990,NJN,Jack Haley,26,4,0.3
1990,MIL,Tony Brown,29,2,0
1990,WSB,Doug Roth,22,5,0.4
1990,IND,Dyron Nix,22,3,0
1991,HOU,Dave Feitl,28,5,0.2
1991,DEN,Craig Neal,26,1,-0.1
1993,MIN,Felton Spencer,25,5,1.1
1993,LAL,Alex Blackwell,22,3,0
1993,SAC,Stan Kimbrough,26,1,0
1994,WSB,Kevin Duckworth,29,5,-0.5
1994,MIA,Keith Askins,26,3,0.3
1995,NJN,Dwayne Schintzius,26,5,-0.1
1995,HOU,Tracy Murray,23,3,0
1996,LAC,Antonio Harvey,25,5,-0.5
1996,WSB,Michael Curry,27,2,0
1997,DEN,Darvin Ham,23,3,0.1
1997,VAN,Moochie Norris,23,1,-0.1
1998,BOS,Roy Rogers,24,4,0
1999,DEN,Carl Herrera,32,4,0
1999,MIN,James Robinson,28,1,-0.2
2000,DET,Jud Buechler,31,3,0.5
2001,BOS,Randy Brown,32,1,0.9
2001,MIN,Sam Mitchell,37,2,0.6
2001,NJN,Mark Strickland,30,3,0
2002,SAS,Bruce Bowen,30,2,1.9
2002,UTA,DeShawn Stevenson,20,2,-0.2
2002,PHO,Milt Palacio,23,1,0.1
2003,CLE,Milt Palacio,24,1,0.2
2003,UTA,DeShawn Stevenson,21,2,-0.1
2003,UTA,Jarron Collins,24,4,0.7
2003,SEA,Vitaly Potapenko,27,5,0.2
2003,TOR,Jermaine Jackson,26,1,-0.1
2004,SAS,Bruce Bowen,32,2,5.4
2004,MIN,Trenton Hassell,24,2,4
2004,MIA,Tyrone Hill,35,4,0.1
2005,HOU,Maurice Taylor,28,4,0.3
2005,NJN,Billy Thomas,29,2,0.4
2005,PHO,Jackson Vroman,23,4,0
2005,WAS,Peter John Ramos,19,5,0
2006,MIL,Jermaine Jackson,29,2,0.2
2006,SAC,Vitaly Potapenko,30,4,0
2006,CHI,Randy Holcomb,26,3,0
2006,PHI,Zendon Hamilton,30,4,0
2007,CHI,Andre Barrett,24,1,0
2008,GSW,Marco Belinelli,21,2,0
2009,POR,Jerryd Bayless,20,1,0.3
2010,CLE,Jawad Williams,26,3,1.1
2010,LAC,Bobby Brown,25,1,-0.4
2011,UTA,Raja Bell,34,2,1.7
2011,OKC,Royal Ivey,29,2,0.2
2011,MEM,Jason Williams,35,1,0
2012,NYK,Bill Walker,24,3,0.9
2012,PHI,Sam Young,26,3,0
2013,OKC,Kendrick Perkins,28,5,2.5
2013,TOR,Linas Kleiza,28,3,0.1
2014,MEM,Tayshaun Prince,33,3,1.5
2014,MIA,Roger Mason,33,2,0.3
2014,PHI,Lorenzo Brown,23,1,-0.3
2015,IND,Damjan Rudez,28,3,1.3
2015,POR,Arron Afflalo,29,2,0.8
2015,CHO,Jeffery Taylor,25,3,0.3
2015,SAS,Kyle Anderson,21,4,0.3
2015,PHI,Malcolm Thomas,26,4,0.1
2015,MIN,Glenn Robinson III,21,3,0
2016,DEN,Emmanuel Mudiay,19,2,-0.5
2016,MIN,Kevin Garnett,39,5,0.2
2016,OKC,Anthony Morrow,30,2,0.1
1978,NJN,Bob Carrington,24,2,0.4
1979,NOJ,Tommie Green,22,1,-0.3
1980,LAL,Don Ford,27,3,0.9
1981,DEN,Carl Nicks,22,1,-0.4
1982,SAS,John Lambert,29,4,0.4
1985,SEA,Danny Vranes,26,3,1.8
1985,NJN,George Johnson,36,4,1.3
1986,IND,Dwayne McClain,22,1,-0.3
1987,PHI,Jim Lampley,26,5,0
1988,DEN,T.R. Dunn,32,2,3.2
1988,PHO,James Bailey,30,4,0.4
1988,PHI,Bob Thornton,25,4,0.5
1988,GSW,Chris Washburn,22,4,-0.1
1989,ATL,Ray Tolbert,30,4,0
1990,ORL,Mark Acres,27,4,1.6
1990,DEN,Eddie Hughes,29,1,1
1990,MIA,Scott Haffner,23,1,-0.1
1991,NYK,Jerrod Mustaf,21,4,0.4
1991,POR,Wayne Cooper,34,4,1.4
1991,WSB,Larry Robinson,23,1,0
1992,DEN,Mark Macon,22,1,-0.8
1993,DAL,Donald Hodge,23,4,-0.9
1993,CHI,Bill Cartwright,35,5,1.2
1993,DEN,Scott Hastings,32,4,1.3
1993,CHH,Tom Hammonds,25,3,0.1
1993,WSB,Greg Foster,24,5,0
1994,MIL,Brad Lohaus,29,4,0.1
1994,CHI,John Paxson,33,1,0.6
1995,MIN,Andres Guibert,26,4,-0.1
1995,MIN,Askia Jones,23,2,-0.1
1997,HOU,Randy Livingston,21,2,0.3
1997,DAL,Khalid Reeves,24,1,-0.1
1997,SAC,Kevin Salvadori,26,4,0
1998,SAS,Chuck Person,33,3,2.1
1999,CHI,Corey Benjamin,20,2,-0.2
1999,VAN,Terry Dehere,27,1,0
1999,SAC,Oliver Miller,28,5,0
2000,LAL,John Salley,35,4,0.5
2001,IND,Derrick McKey,34,3,1.4
2001,VAN,Isaac Austin,31,4,-0.5
2001,VAN,Kevin Edwards,35,2,-0.1
2002,DAL,Johnny Newman,38,2,0.9
2003,ORL,Jeryl Sasser,23,2,0.8
2003,ORL,Pat Burke,29,4,-0.3
2003,WAS,Charles Oakley,39,3,0.9
2003,NYK,Travis Knight,28,5,0.2
2004,IND,Scot Pollard,28,5,1.4
2004,HOU,Bostjan Nachbar,23,3,0.8
2004,DET,Darvin Ham,30,3,0.9
2005,MIN,Ervin Johnson,37,5,0.8
2005,NOH,Maciej Lampe,19,5,0
2005,ORL,Michael Bradley,25,4,0.1
2006,NOK,Arvydas Macijauskas,26,2,0
2007,UTA,Rafael Araujo,26,5,0.1
2008,MIN,Corey Brewer,21,3,-0.2
2008,NJN,Antoine Wright,23,3,0.5
2008,PHO,Eric Piatkowski,37,2,0.1
2008,BOS,Gabe Pruitt,21,1,0.1
2009,OKC,Damien Wilkins,29,3,0
2010,DET,Chucky Atkins,35,1,0.2
2010,LAC,Steve Novak,26,3,0.3
2011,ORL,Mickael Pietrus,28,3,0.7
2011,DEN,Melvin Ely,32,4,0.6
2012,WAS,Chris Singleton,22,3,1.5
2012,MIN,Anthony Tolliver,26,4,0.9
2012,UTA,Raja Bell,35,2,1.1
2012,LAL,Devin Ebanks,22,3,0.3
2013,MIN,Brandon Roy,28,2,0
2013,DAL,Chris Douglas-Roberts,26,2,0.1
2014,DAL,Shane Larkin,21,1,-0.1
2014,SAC,John Salmons,34,2,0.3
2015,POR,Will Barton,24,2,0
2015,UTA,Ian Clark,23,1,0.1
2015,LAC,Jordan Hamilton,24,3,0.1
2015,PHO,Marcus Thornton,27,2,-0.1
1978,GSW,Ricky Marsh,23,1,0.5
1979,NJN,Ralph Simpson,29,2,-0.4
1979,CHI,Scott May,24,3,-0.1
1979,SDC,Jerome Whitehead,22,4,0.1
1981,SEA,Armond Hill,27,1,1.2
1981,POR,Mike Harper,23,4,0.1
1981,IND,Jerry Sichting,24,1,0.3
1982,HOU,Calvin Garrett,25,2,0.6
1982,CLE,Brad Branson,23,4,-0.1
1983,WSB,Kevin Porter,32,1,0.2
1984,WSB,DeWayne Scales,25,3,0
1986,NJN,Jeff Turner,23,4,0.8
1986,LAC,Jay Murphy,23,3,-0.1
1986,MIL,Bryan Warrick,26,1,0
1987,NJN,Pace Mannion,26,2,-0.2
1989,UTA,Mike Brown,25,4,1.4
1989,UTA,Jim Farmer,24,2,0.4
1990,SAC,Randy Allen,25,3,0.2
1991,ATL,Jon Koncak,27,5,2.5
1991,PHI,Manute Bol,28,5,1.3
1991,IND,Mike Sanders,30,2,0.1
1991,MIA,Alec Kessler,24,5,-0.1
1991,CHH,Eric Leckner,24,5,0.3
1991,UTA,Andy Toolson,25,2,0.6
1992,DET,William Bedford,28,4,0.3
1992,UTA,Corey Crowder,22,2,0.4
1993,NJN,Rafael Addison,28,3,0.9
1993,MIN,Lance Blanks,26,2,0.2
1993,DEN,Kevin Brooks,23,2,0
1993,MIN,Brad Sellers,30,4,0
1993,GSW,Paul Pressey,34,2,0.1
1994,WSB,Doug Overton,24,1,-0.4
1994,SAC,Bobby Hurley,22,1,-0.5
1995,NYK,Monty Williams,23,3,0.3
1996,DEN,Reggie Williams,31,2,0.3
1996,TOR,Dan O'Sullivan,27,5,0
1996,DET,Steve Bardo,27,2,0.2
1996,CHH,Gerald Glass,28,3,0
1997,UTA,Greg Foster,28,4,1
1999,NJN,Elliot Perry,29,1,-0.3
2000,DAL,Dennis Rodman,38,4,0.6
2001,ATL,DerMarr Johnson,20,3,0
2001,NYK,Erick Strickland,27,2,0.3
2002,ATL,Hanno Mottola,25,4,0.5
2002,CLE,Jeff Trepagnier,22,2,-0.2
2003,MIN,Igor Rakocevic,24,1,0.1
2003,MIL,Jamal Sampson,19,4,0
2004,PHO,Zarko Cabarkapa,22,4,-0.4
2004,MEM,Theron Smith,23,4,0.1
2005,PHI,Aaron McKie,32,2,2
2005,PHO,Casey Jacobsen,23,2,1.1
2005,WAS,Steve Blake,24,1,0.3
2005,NJN,Jabari Smith,27,4,0.7
2005,DET,Elden Campbell,36,4,0.1
2005,NOH,Alex Garcia,24,2,-0.1
2006,LAL,Sasha Vujacic,21,2,2
2006,ATL,Royal Ivey,24,2,0.7
2006,PHI,Michael Bradley,26,5,0.1
2007,PHI,Kevin Ollie,34,1,0.6
2008,CLE,Donyell Marshall,34,4,0.1
2009,MIA,James Jones,28,3,0.9
2010,PHI,Jason Kapono,28,3,0.5
2010,MIL,Jodie Meeks,22,2,0.3
2010,SAC,Hilton Armstrong,25,5,0
2011,WAS,Kevin Seraphin,21,5,0.2
2011,MIA,Juwan Howard,37,4,0.9
2011,LAC,Jamario Moon,30,3,0.4
2012,ORL,Chris Duhon,29,1,1.3
2012,PHO,Ronnie Price,28,1,0.1
2012,NJN,Mehmet Okur,32,4,0
2012,LAL,Andrew Goudelock,23,2,0.1
2013,ATL,Anthony Tolliver,27,3,1.2
2013,ORL,DeQuan Jones,22,3,0.1
2013,PHI,Jeremy Pargo,26,1,0
2014,BRK,Marquis Teague,20,1,-0.1
2014,NYK,Shannon Brown,28,2,0
2015,ORL,Maurice Harkless,21,3,0.3
2015,NYK,Cleanthony Early,23,3,-0.4
1979,LAL,Brad Davis,23,1,0.1
1980,SDC,Sidney Wicks,30,3,-0.1
1981,ATL,Tom Burleson,28,5,0.2
1981,CLE,Walter Jordan,24,3,-0.1
1982,SAS,Paul Griffin,28,3,0.4
1984,GSW,Pace Mannion,23,2,0.4
1985,UTA,Rich Kelley,31,5,1.7
1985,IND,Granville Waiters,24,4,0.2
1985,CHI,Charles Jones,27,4,0
1986,CLE,Lonnie Shelton,30,3,0.5
1986,GSW,Guy Williams,25,4,0
1987,NYK,Jawann Oldham,29,5,0
1987,BOS,Conner Henry,23,2,-0.1
1988,PHI,David Wingate,24,2,-0.5
1989,MIA,Kelvin Upshaw,26,1,-0.1
1990,UTA,Bob Hansen,29,2,2.8
1990,GSW,Marques Johnson,33,3,0
1991,UTA,Walter Palmer,22,5,-0.1
1993,PHI,Manute Bol,30,5,0.2
1993,ORL,Terry Catledge,29,3,0.1
1994,LAC,Stanley Roberts,23,5,-0.1
1995,MIA,Harold Miner,23,2,-0.4
1995,PHI,B.J. Tyler,23,1,-0.7
1995,DAL,Donald Hodge,25,4,0.3
1996,SAC,Corliss Williamson,22,3,-0.8
1997,MIN,Doug West,29,2,1.7
1997,HOU,Sedale Threatt,35,1,0.4
1997,CHH,Donald Royal,30,3,0.4
1997,CLE,Carl Thomas,27,2,0
1998,GSW,Felton Spencer,30,5,0.9
1998,MIL,Andrew Lang,31,5,0.7
1999,SAS,Andrew Gaze,33,2,0
2000,DET,Loy Vaught,31,4,0.2
2000,TOR,Haywoode Workman,34,1,0
2000,PHO,Ben Davis,27,5,0
2001,CHI,Jamal Crawford,20,2,-0.9
2001,LAC,Tyrone Nesby,25,3,0
2002,NYK,Howard Eisley,29,1,-0.3
2002,HOU,Dan Langhi,24,4,0
2004,MIN,Ervin Johnson,36,5,2.3
2005,SAS,Tony Massenburg,37,4,1.1
2006,NYK,Maurice Taylor,29,4,-0.5
2006,HOU,Jon Barry,36,2,0.4
2006,SEA,Danny Fortson,29,4,0.2
2006,CHI,Tim Thomas,28,4,0
2007,CHI,Thabo Sefolosha,22,2,0.8
2007,CHA,Ryan Hollins,22,5,0.2
2007,SEA,Mouhamed Sene,20,5,0
2007,CLE,Scot Pollard,31,5,0.2
2008,NYK,Quentin Richardson,27,3,0.3
2008,NJN,Nenad Krstic,24,5,-0.1
2008,SAS,Francisco Elson,31,5,0.5
2008,DEN,Bobby Jones,24,3,0.3
2008,CHI,Adrian Griffin,33,2,0
2009,UTA,Ronnie Price,25,1,0.1
2009,PHO,Raja Bell,32,2,0.8
2009,IND,Stephen Graham,26,3,0
2009,PHO,Sean Singletary,23,1,0.1
2010,MEM,DeMarre Carroll,23,3,0.5
2010,LAC,Ricky Davis,30,2,0.1
2010,PHO,Earl Clark,22,4,-0.3
2010,NOH,Jason Hart,31,1,0
2011,NOH,Quincy Pondexter,22,3,0.9
2011,IND,Solomon Jones,26,4,0.5
2011,SAS,James Anderson,21,2,0.3
2011,ORL,Jason Williams,35,1,0.2
2012,LAL,Steve Blake,31,1,1
2012,BOS,Mickael Pietrus,29,3,1.2
2012,HOU,Courtney Fortson,23,1,-0.1
2013,BRK,Jerry Stackhouse,38,2,0.4
2013,BRK,Tornike Shengelia,21,4,0
2013,MIA,Josh Harrellson,23,5,0
2013,ATL,Jeremy Tyler,21,5,0
2014,IND,Donald Sloan,26,1,0.3
2014,DAL,Bernard James,28,5,0.1
2015,CLE,Matthew Dellavedova,24,1,1.9
2015,NYK,Travis Wear,24,4,-0.3
2015,BOS,James Young,19,3,0.3
2015,LAC,C.J. Wilcox,24,2,0
2015,BRK,Brandon Davies,23,4,-0.1
2015,CLE,Alex Kirk,23,4,0
2016,CHI,Joakim Noah,30,4,0.1
2016,SAS,Kyle Anderson,22,4,0.1
1978,NJN,Tim Bassett,26,4,1.1
1980,UTA,Duck Williams,23,1,-0.3
1981,MIL,Len Elmore,28,4,1.6
1982,WSB,Jim Chones,32,4,1.4
1983,PHO,Johnny High,25,1,1.2
1983,BOS,Rick Robey,27,4,0.9
1983,NJN,Jan Van Breda Kolff,31,3,0.1
1984,DET,Earl Cureton,26,4,1
1984,WSB,Mike Gibson,23,4,0.1
1984,GSW,Ron Brewer,28,2,0.2
1985,KCK,Pete Verhoeven,25,3,0.4
1986,PHI,Perry Moss,27,1,0.6
1987,IND,Greg Dreiling,24,5,0.2
1988,UTA,Marc Iavaroni,31,3,1.7
1988,POR,Jim Paxson,30,2,0.2
1989,DAL,Herb Williams,30,4,0.5
1989,DEN,Bill Hanzlik,31,2,0.7
1990,UTA,Delaney Rudd,27,1,0.1
1991,UTA,Darrell Griffith,32,2,0
1991,HOU,Adrian Caldwell,24,4,0.1
1991,PHO,Joe Barry Carroll,32,4,0
1991,CHH,Jeff Sanders,25,4,0
1992,LAC,LeRon Ellis,22,4,-0.2
1992,ATL,Travis Mays,23,1,0
1993,DEN,Gary Plummer,30,4,0.4
1993,ORL,Steve Kerr,27,1,0.4
1993,PHO,Tim Kempton,29,4,0.1
1996,SEA,Frank Brickowski,36,4,1.6
1996,SAS,J.R. Reid,27,4,0.6
1997,ATL,Willie Burton,28,3,0.5
1998,SAC,Anthony Johnson,23,1,0.4
1998,SEA,David Wingate,34,2,0.3
1998,PHO,Horacio Llamas Grey,24,5,-0.1
2000,NYK,Chris Childs,32,1,2.1
2000,DET,Michael Curry,31,2,2
2000,VAN,Doug West,32,2,0.5
2002,MIL,Ervin Johnson,34,5,2.3
2002,PHI,Raja Bell,25,2,1.1
2002,CHI,Dalibor Bagaric,21,5,-0.1
2002,TOR,Michael Stewart,26,4,0.1
2002,BOS,Randy Brown,33,1,0
2004,CLE,Dajuan Wagner,20,1,-0.1
2005,NJN,Jason Collins,26,5,3.9
2005,ORL,Tony Battie,28,4,2
2005,CLE,Ira Newble,30,3,1.9
2005,WAS,Michael Ruffin,28,4,1.9
2005,UTA,Kirk Snyder,21,3,-0.2
2005,DET,Carlos Delfino,22,3,0.5
2005,NOH,Corsley Edwards,25,5,0.1
2006,UTA,Keith McLeod,26,1,0.6
2006,MIN,Michael Olowokandi,30,5,0.4
2006,SEA,Mikki Moore,30,4,0.1
2006,PHI,Willie Green,24,2,-0.1
2007,CLE,Eric Snow,33,1,2.8
2007,BOS,Sebastian Telfair,21,1,0.5
2007,NYK,Jared Jeffries,25,4,1.2
2007,MEM,Eddie Jones,35,2,0.2
2007,UTA,Dee Brown,22,1,0.2
2008,IND,David Harrison,25,5,0.4
2008,ATL,Mario West,23,3,0.5
2008,DEN,Steven Hunter,26,5,0.1
2008,ORL,Bo Outlaw,36,2,0
2009,DAL,Antoine Wright,24,2,1.4
2009,CLE,Sasha Pavlovic,25,3,1.7
2009,SAC,Mikki Moore,33,4,0.8
2010,TOR,Antoine Wright,25,3,0.3
2010,HOU,Garrett Temple,23,2,0
2011,MIN,Wayne Ellington,23,2,0.3
2011,ORL,Gilbert Arenas,29,1,0.2
2011,WAS,Hilton Armstrong,26,5,0.4
2011,HOU,Terrence Williams,23,3,-0.1
2013,PHO,Marcus Morris,23,4,-0.2
2013,NYK,Marcus Camby,38,5,0
2013,PHI,Charles Jenkins,23,2,0.1
2014,CLE,Alonzo Gee,26,3,0.9
2014,DEN,Quincy Miller,21,3,0
2014,CLE,Earl Clark,26,4,0.2
2014,CHA,Luke Ridnour,32,1,0.2
2014,TOR,Landry Fields,25,3,0.4
2015,LAL,Ryan Kelly,23,4,0.7
2015,NYK,Lance Thomas,26,3,-0.5
2015,MIA,Danny Granger,31,3,0.6
2015,PHI,Glenn Robinson III,21,3,0
2016,PHO,P.J. Tucker,30,3,0.3
2016,ATL,Justin Holiday,26,2,0
1978,KCK,Kevin Restani,26,4,0.4
1979,KCK,Lucius Allen,31,1,0.1
1980,GSW,Darnell Hillman,30,4,0.3
1981,IND,Tom Abernethy,26,3,0.4
1982,SEA,James Bailey,24,4,0.1
1983,DET,Tom Owens,33,4,0.6
1983,BOS,Charles Bradley,23,2,0.2
1983,SDC,Bob Gross,29,2,0.2
1984,SDC,Craig Hodges,23,1,0.5
1984,POR,Audie Norris,23,4,1.1
1984,SEA,Scooter McCray,23,3,0.3
1986,DEN,Blair Rasmussen,23,5,-0.1
1986,DET,Mike Gibson,25,4,0.2
1987,POR,Caldwell Jones,36,4,2.6
1987,NYK,Chris McNealy,25,3,0.8
1987,CLE,Scooter McCray,26,3,0.1
1988,NYK,Billy Donovan,22,1,-0.1
1988,LAC,Kenny Fields,25,3,0
1989,PHI,Chris Welp,25,5,0.7
1989,WSB,Dave Feitl,26,4,0.4
1989,CLE,Chris Dudley,23,5,0.1
1989,NJN,Kevin Williams,27,1,-0.1
1990,MIN,Sidney Lowe,30,1,1.5
1990,LAC,Jeff Martin,23,2,0.9
1990,ATL,Jon Koncak,26,5,1.4
1990,CLE,Chris Dudley,24,5,-0.2
1991,IND,Greg Dreiling,28,5,1.1
1991,ATL,Gary Leonard,23,5,0
1992,MIA,Keith Askins,24,3,0.7
1992,CHI,Mark Randall,24,3,0
1993,UTA,Mark Eaton,36,5,1.9
1993,PHI,Greg Grant,26,1,0.2
1993,NYK,Hubert Davis,22,1,1.2
1993,SAS,David Wood,28,3,1
1993,SAS,Willie Anderson,26,2,-0.1
