Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS
2004,PHO,Cezary Trybanski,24,4,10,-14.8,0,0,0,0,11.5,5.7,0,0,7.4,50,18.1,-0.1
2012,MEM,Brian Skinner,35,1,4,-14.6,0,0,0,0,0,0,0,0,0,0,11.3,0
1999,CHH,Joe Wolf,34,3,12,-14.5,0,0,2,0,9.4,4.9,0,0,0,0,7.4,0
2016,DET,Spencer Dinwiddie,22,1,7,-14.4,0.532,0,2,0,16.1,7.6,0,0,0,51.5,23.5,-0.1
1999,MIN,Paul Grant,25,4,8,-14.3,0.25,0,0,13,0,7,0,0,0,20,27.5,-0.1
1992,CHI,Chuck Nevitt,32,4,9,-13.6,0.333,0,0,0,12.5,6.4,13.8,0,0,50,28.8,-0.1
2011,HOU,Hasheem Thabeet,23,2,4,-13.6,0,0,0,0,0,0,0,0,17.4,0,11,0
2016,OKC,Mitch McGary,23,2,16,-13.6,0.387,0,0.667,7.1,13.3,10.3,0,0,0,56.3,23.3,-0.1
1979,PHI,Marlon Redmond,23,4,23,-13.4,0.083,,0,0,4.3,2.3,5,0,0,7.7,22,-0.2
2004,WAS,Jahidi White,27,1,4,-13.4,0,0,0,0,0,0,0,0,18,50,22.1,0
1979,SDC,Scott Lloyd,26,5,31,-13.2,0,,0,3.4,6.9,5.1,0,1.5,0,80,12.2,-0.2
2012,WAS,Hamady N'Diaye,25,3,3,-13.1,0,0,0,0,0,0,0,0,0,0,14.9,0
2008,HOU,Justin Williams,23,1,6,-13,0.315,0,1.333,19.1,0,9.4,0,0,0,17.4,43.9,-0.1
2005,SEA,Ibo Kutluay,30,5,12,-12.9,0,0,0,0,10.2,5.1,0,0,0,66.7,11.6,-0.1
2016,BOS,R.J. Hunter,22,2,17,-12.9,0.2,0.6,0,0,6.2,3,0,0,0,16.7,14.4,-0.1
2009,NYK,Cheikh Samb,24,2,8,-12.6,0,0,0.667,13.2,14.2,13.7,0,0,0,0,21.1,-0.1
1995,PHI,Alaa Abdelnaby,26,3,30,-12.5,0.091,0,0,11.6,19.6,15.5,0,0,0,31.3,23.8,-0.3
1996,WSB,Mike Peplowski,25,2,5,-12.5,,,,0,0,0,0,0,0,,0,0
1992,CHH,Tony Massenburg,24,3,13,-12.4,0.129,0,0.667,8.1,25.3,16.5,0,3.6,0,50.8,24.5,-0.1
2000,CHH,Jason Miskiri,24,1,3,-12.4,0,1,0,0,0,0,44.9,0,0,0,14.9,0
2005,DAL,Pavel Podkolzin,20,5,10,-12.1,0.568,,,0,21.9,11.2,0,0,0,69.4,12.9,0
